测试名称,准考证号,开始时间,结束时间,user_agent,client_ip,name
tsing/ds,2203021,2022-06-20T18:34:27.019+08:00,2022-06-20T18:43:53.098+08:00,"Mozilla/5.0 (Linux; Android 11; LSA-AN00 Build/HONORLSA-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/9905 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",223.104.41.156,文蕙
tsing/ds,2203023,2022-06-20T19:06:58.52+08:00,2022-06-20T19:20:54.133+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",120.244.196.161,文蕙
tsing/ds,2203024,2022-06-20T18:42:07.17+08:00,2022-06-20T18:48:36.379+08:00,"Mozilla/5.0 (Linux; Android 12; PDPM00 Build/RKQ1.211103.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/9325 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",120.244.196.184,文蕙教师账号【所有教师问卷】
tsing/ds,2203025,2022-06-20T18:38:01.802+08:00,2022-06-20T18:51:28.449+08:00,"Mozilla/5.0 (Linux; Android 12; M2012K11AC Build/SKQ1.211006.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4233 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/2888 MicroMessenger/8.0.23.2160(0x28001751) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",120.244.196.161,文蕙
tsing/ds,2203026,2022-06-20T18:42:46.592+08:00,,"Mozilla/5.0 (Linux; Android 10; SPN-AL00 Build/HUAWEISPN-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/9199 MicroMessenger/8.0.23.2160(0x28001751) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64",120.244.196.161,文蕙
tsing/ds,2203027,2022-06-20T19:31:38.663+08:00,2022-06-20T19:37:01.984+08:00,"Mozilla/5.0 (Linux; Android 10; EBG-AN00 Build/HUAWEIEBG-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4207 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/6648 MicroMessenger/8.0.23.2160(0x28001751) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",120.244.196.24,贺
tsing/ds,2203028,2022-06-20T18:57:41.585+08:00,2022-06-20T19:07:51.423+08:00,"Mozilla/5.0 (Linux; Android 11; V2073A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4233 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/800 MicroMessenger/8.0.23.2160(0x28001766) WeChat/arm64 Weixin NetType/5G Language/zh_CN ABI/arm64",114.249.127.175,罗
tsing/ds,2203029,2022-06-20T19:06:21.357+08:00,2022-06-20T19:17:10.22+08:00,"Mozilla/5.0 (Linux; Android 10; V2002A Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/9983 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/5G Language/zh_CN ABI/arm64",120.244.196.161,文蕙
tsing/ds,2203030,2022-06-20T19:31:02.256+08:00,2022-06-20T19:42:59.934+08:00,"Mozilla/5.0 (Linux; Android 11; PDYT20 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4233 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/2167 MicroMessenger/8.0.23.2160(0x28001751) WeChat/arm64 Weixin NetType/5G Language/zh_CN ABI/arm64",120.244.196.161,文蕙
tsing/ds,2203031,2022-06-20T20:30:18.304+08:00,2022-06-20T20:50:17.285+08:00,"Mozilla/5.0 (Linux; Android 10; ANG-AN00 Build/HUAWEIANG-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3247 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/542 MicroMessenger/8.0.23.2160(0x28001751) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",120.244.196.161,文蕙
tsing/ds,2203034,2022-06-21T12:21:31.392+08:00,2022-06-21T12:27:46.308+08:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",120.244.196.184,文蕙教师账号【所有教师问卷】
tsing/ds,2203035,2022-06-21T12:26:18.406+08:00,2022-06-21T12:37:35.146+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/WIFI Language/zh_CN",120.244.196.161,文蕙
tsing/ds,2203036,2022-06-21T15:52:26.437+08:00,2022-06-21T16:00:22.341+08:00,"Mozilla/5.0 (Linux; Android 10; OCE-AN50 Build/HUAWEIOCE-AN50; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4255 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/139 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",120.244.196.161,文蕙
tsing/ds,2203037,2022-06-21T13:58:09.232+08:00,2022-06-21T14:14:16.352+08:00,"Mozilla/5.0 (iPad; CPU OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Mobile/15E148 Safari/604.1",124.207.81.178,大学生1
tsing/ds,2203038,2022-06-21T14:31:25.067+08:00,2022-06-21T14:44:12.053+08:00,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",39.144.218.20,大学生2
tsing/ds,2203039,2022-06-21T21:16:05.634+08:00,2022-06-21T21:22:34.582+08:00,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",42.80.156.55,大学生3
tsing/ds,2203040,2022-06-21T16:14:53.292+08:00,2022-06-21T16:27:32.439+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/WIFI Language/zh_CN",39.144.43.212,大学生4
tsing/ds,2203041,2022-06-21T17:06:03.887+08:00,2022-06-21T17:19:28.379+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/WIFI Language/zh_CN",117.187.100.123,大学生5
tsing/ds,2203042,2022-06-21T17:22:28.994+08:00,2022-06-21T17:41:42.847+08:00,"Mozilla/5.0 (Linux; Android 7.1.1; MI MAX 2 Build/NMF26F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220105 Mobile Safari/537.36 MMWEBID/6882 MicroMessenger/8.0.19.2080(0x28001337) Process/toolsmp WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64",113.246.243.106,大学生6
tsing/ds,2203043,2022-06-21T19:10:16.538+08:00,2022-06-21T19:19:52.831+08:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",223.104.247.25,大学生7
tsing/ds,2203044,2022-06-21T19:22:29.799+08:00,2022-06-21T19:35:57.73+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/17G80 QQ/8.8.68.629 V1_IPH_SQ_8.8.68_1_APP_A Pixel/750 MiniAppEnable SimpleUISwitch/0 StudyMode/0 CurrentMode/0 CurrentFontScale/1.000000 QQTheme/1000 AppId/537111525 Core/WKWebView Device/Apple(iPhone 7) NetType/WIFI QBWebViewType/1 WKType/1",117.136.24.179,大学生8
tsing/ds,2203045,2022-06-21T19:36:46.488+08:00,2022-06-21T19:50:48.739+08:00,"Mozilla/5.0 (Linux; Android 10; PCT-AL10 Build/HUAWEIPCT-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/7207 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",183.214.32.219,大学生9
tsing/ds,2203046,2022-06-21T19:56:21.761+08:00,2022-06-21T20:11:02.116+08:00,"Mozilla/5.0 (Linux; Android 11; V2072A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/8296 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",223.148.165.129,大学生10
tsing/ds,2203047,2022-06-21T20:13:24.447+08:00,2022-06-21T20:26:10.815+08:00,"Mozilla/5.0 (Linux; Android 11; V2072A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/8296 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",220.202.152.79,大学生11
tsing/ds,2203048,2022-06-21T21:11:16.374+08:00,2022-06-21T21:29:10.903+08:00,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",36.157.231.212,大学生12
tsing/ds,2203049,2022-06-21T20:56:50.324+08:00,2022-06-21T21:02:06.158+08:00,"Mozilla/5.0 (Linux; Android 10; NOH-AN00 Build/HUAWEINOH-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/3459 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64",36.157.231.212,大学生13
tsing/ds,2203050,2022-06-21T23:46:32.733+08:00,2022-06-21T23:54:33.201+08:00,"Mozilla/5.0 (Linux; Android 11; V2072A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/8296 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64",36.157.211.115,大学生14
tsing/ds,2203051,2022-06-21T23:32:32.106+08:00,2022-06-21T23:45:16.526+08:00,"Mozilla/5.0 (iPad; CPU OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x18001729) NetType/WIFI Language/zh_CN",116.230.247.246,大学生15
tsing/ds,2203052,2022-06-21T23:35:12.805+08:00,2022-06-21T23:45:40.895+08:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",101.80.127.100,大学生16
tsing/ds,2203053,2022-06-21T23:49:04.897+08:00,2022-06-22T00:04:46.822+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/WIFI Language/zh_CN",221.192.179.16,大学生17
tsing/ds,2203054,2022-06-22T07:59:55.872+08:00,2022-06-22T08:09:18.874+08:00,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",117.136.117.114,大学生18
tsing/ds,2203055,2022-06-22T08:54:37.161+08:00,2022-06-22T09:08:00.542+08:00,"Mozilla/5.0 (Linux; Android 11; V2055A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/4069 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",111.8.90.160,大学生19
tsing/ds,2203056,2022-06-22T19:29:24.83+08:00,2022-06-22T19:41:56.436+08:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x6307001e)",223.104.65.251,大学生20
tsing/ds,2203057,2022-06-22T14:43:59.682+08:00,2022-06-22T14:56:04.912+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/4G Language/zh_CN",116.162.133.246,大学生21
tsing/ds,2203058,2022-06-22T16:15:30.404+08:00,2022-06-22T16:26:52.912+08:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",101.88.39.128,大学生23
tsing/ds,2203059,2022-06-22T20:31:02.921+08:00,2022-06-22T20:37:06.212+08:00,"Mozilla/5.0 (Linux; Android 10; GLK-AL00 Build/HUAWEIGLK-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/2924 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",111.8.90.160,大学生24
tsing/ds,2203060,2022-06-22T22:02:59.493+08:00,,"Mozilla/5.0 (Linux; Android 7.1.1; OPPO A73 Build/N6F26Q; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/76.0.3809.89 Mobile Safari/537.36 T7/13.11 SP-engine/2.49.0 baiduboxapp/13.11.0.10 (Baidu; P1 7.1.1) NABar/1.0",58.20.50.200,大学生25
tsing/ds,2203062,2022-06-22T19:30:14.369+08:00,,"Mozilla/5.0 (Linux; Android 11; M2012K11AC Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220105 Mobile Safari/537.36 MMWEBID/9344 MicroMessenger/8.0.19.2080(0x2800133D) Process/toolsmp WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",223.104.65.19,大学生26
tsing/ds,2203063,2022-06-22T19:39:07.389+08:00,2022-06-22T19:48:54.879+08:00,"Mozilla/5.0 (Linux; Android 8.1.0; OPPO R11 Pluskt Build/OPM1.171019.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4255 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/653 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",113.75.43.150,大学生27
tsing/ds,2203064,2022-06-22T19:46:30.928+08:00,2022-06-22T19:57:50.295+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/4G Language/zh_CN",112.111.55.226,大学生28
tsing/ds,2203066,2022-06-22T20:32:38.843+08:00,2022-06-22T20:38:55.001+08:00,"Mozilla/5.0 (Linux; Android 11; V2106A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4255 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/1206 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/5G Language/zh_CN ABI/arm64",116.162.1.148,大学生29
tsing/ds,2203067,2022-06-22T20:25:31.681+08:00,2022-06-22T20:31:18.009+08:00,"Mozilla/5.0 (Linux; Android 12; PEGM10 Build/RKQ1.211103.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4255 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/1306 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",112.97.81.247,大学生30
tsing/ds,2203068,2022-06-22T20:28:01.58+08:00,2022-06-22T20:41:37.145+08:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",111.37.74.119,大学生31
tsing/ds,2203069,2022-06-22T21:13:57.693+08:00,2022-06-22T21:25:01.412+08:00,"Mozilla/5.0 (Linux; Android 10; Redmi Note 8 Pro Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/6907 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64",221.192.179.215,大学生34
tsing/ds,2203070,2022-06-22T20:27:45.395+08:00,2022-06-22T20:39:56.261+08:00,"Mozilla/5.0 (Linux; Android 9; COR-AL10; HMSCore 6.5.1.301; GMSCore 19.6.29) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.105 HuaweiBrowser/12.1.0.302 Mobile Safari/537.36",101.93.235.110,大学生35
tsing/ds,2203071,2022-06-22T20:31:51.405+08:00,2022-06-22T20:46:38.411+08:00,"Mozilla/5.0 (Linux; Android 10; TEL-AN00a Build/HONORTEL-AN00a; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4255 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/1371 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",180.110.143.28,大学生36
tsing/ds,2203072,2022-06-22T20:36:18.616+08:00,2022-06-22T20:48:11.873+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/4G Language/zh_CN",116.230.247.246,大学生37
tsing/ds,2203073,2022-06-22T21:29:16.903+08:00,,"Mozilla/5.0 (Linux; Android 11; V2106A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4255 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/1206 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",116.230.247.246,大学生38
